    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   131320409     0.977749    -0.301089     0.885024      1201.25      1569.24       785.63   1.3968e+13   1.3806e+13     0.583188
   117532102      6.18026    -0.906794     0.785973     -511.981      917.788      1628.51   1.1207e+13   1.0395e+13      0.52639
   123370458     0.665436    -0.286853     0.387002      319.579      929.594      392.753   1.9815e+13   1.8353e+13     0.604823
   118713321     0.235181   -0.0685375     0.554194     -160.712      1422.44      243.374   2.0627e+13   1.9165e+13     0.629674
   125977604     0.546533    -0.237337     0.862286       404.49      1926.96      683.916   1.0557e+13   1.0232e+13     0.526882
   117364613     0.332804    -0.921013     0.515515     -6.37964      712.813      1163.29   2.2901e+13   2.1764e+13     0.653491
   134908520      1.09504    -0.163154     0.893423      1439.87      1507.14      494.127   1.7866e+13   1.7541e+13     0.632035
   128865547      1.38558    -0.452388      0.58569      1182.89      624.945      725.779   1.2019e+13   1.1857e+13     0.538688
   116651523      5.96226     -1.07799     0.727482     -526.059      512.989      1666.86   2.9398e+13   2.9398e+13     0.740451
   129662646      1.05275    -0.357128     0.441451      725.861      803.499      495.583   1.2344e+13   1.2019e+13     0.530162
   131468035     0.773224     -0.52583     0.896506      773.601      1575.54      1237.89   1.0395e+13   1.0232e+13     0.528214
  1000342126      5.15263    -0.220984     0.898467      -2087.7       147.11       498.49    1.307e+14   1.2775e+14      1.22554
   116471981      6.17147    -0.940779      0.53392     -361.328      625.712      1206.49   4.2391e+13   3.9955e+13     0.802215
   139809471      1.62778    -0.458646       0.6471      1425.38      349.284      764.684   1.9978e+13   1.9328e+13      0.63855
   110454668      5.59095    -0.712655     0.658311     -1089.46      530.854       1161.4   1.8841e+13   1.7866e+13     0.622792
   140303010      1.37909   -0.0938417     0.713831      1534.08      895.113      251.527   1.3643e+13   1.3481e+13     0.570237
   128342787      1.52388     -1.04138     0.759315      887.037      201.366      1651.64   2.9398e+13   2.8748e+13     0.737137
   128916292       1.3599    -0.580019      0.63598      1161.88       629.64      956.128   2.0952e+13   1.9165e+13     0.635967
     3355401      5.58523    -0.348406     0.154654     -363.256      194.903      174.905   3.2417e+13   2.9637e+13     0.672076
   131479124      1.04672    -0.499002     0.895116      1218.34      1331.57      1159.63   1.3318e+13   1.3318e+13     0.576666
   122167361     0.637552     -1.42834     0.814593      90.3892      72.8862      1990.37   1.7379e+13   1.6404e+13     0.614332
   104049344      5.11807    -0.247263     0.704306     -1715.33       56.801      450.197   1.1045e+13   1.1045e+13     0.533077
   131370895      1.07457    -0.408717     0.851956      1264.46      1326.27      951.906    1.543e+13   1.5105e+13     0.599447
   110404880      5.41515     -0.63328     0.632839     -1222.78      357.679      1007.76   1.0232e+13    1.007e+13        0.513
   122011250      1.33525     -1.19642     0.618736      493.821      171.103      1505.97   1.0557e+13   8.6082e+12     0.486081
   129470016      1.26131   0.00661337     0.591255      1215.56      932.897      77.6768   2.8261e+13   2.7449e+13     0.713108
   122673613     0.359627    -0.891937      0.36397      11.7805      547.796      838.168   1.1694e+13   1.0557e+13      0.50086
   125178637     0.739426    -0.316471     0.686348      634.398      1463.99      687.249    2.014e+13   1.9978e+13     0.648334
   131376632     0.948235    -0.429382     0.752435       966.79      1318.82      910.932   1.1369e+13   1.1207e+13     0.538148
   105018623      5.52668    -0.510367     0.743957     -1440.49      634.797       981.08    3.021e+13   2.9885e+13     0.745678
   112883440      6.13216    -0.509994     0.889138     -884.375      1524.13      1204.16   2.7774e+13   2.3713e+13     0.698634
   128293603       1.6533    -0.919558     0.800738      1158.24      154.175      1582.29   1.6729e+13   1.5267e+13     0.599107
   122162297      1.26026     -1.36287     0.894324       360.15      59.8169       2112.5   3.4595e+13    3.427e+13     0.790173
   141738773      1.84058    -0.362432     0.897774      2008.07      78.5071      764.626    2.485e+13   2.4525e+13     0.706959
   123619366     0.686929    -0.786766     0.492387       313.26      775.776      1009.25   1.5105e+13   1.3806e+13     0.559624
   115579987      5.88785     -1.09491     0.487866     -397.195      321.391      1195.84    1.608e+13   1.5917e+13      0.58642
   122845609     0.498644     -1.14356     0.583655      101.635      480.647      1435.81   2.8911e+13   2.7124e+13     0.709619
   131895645     0.789315   -0.0372723     0.736468      787.796      1646.56      230.367   1.2994e+13   1.2344e+13     0.554939
   134958927      1.11264    -0.277843     0.872114      1404.45      1393.15      712.792   1.1694e+13   1.1532e+13     0.548707
     5827096      0.67596    -0.977781     0.111569      60.2307      144.721      286.183   1.0281e+13   9.0418e+12      0.44637
  1010711657     0.923943    -0.455948     0.873168      1035.58      1483.54      1075.33   5.8551e+13   5.8551e+13     0.943164
   139648236       1.5349   -0.0815433     0.705659      1643.82       644.23       202.39   5.4735e+13   5.4248e+13     0.906278
   118763397      6.25167    -0.134929     0.656084     -611.382      1510.99      380.729   4.9538e+13   4.7589e+13     0.863103
   122902794      1.10067     -1.01629     0.697934      641.784      523.463      1554.35   1.9165e+13   1.9003e+13     0.638369
   131257310     0.940621    -0.203255     0.766469      1043.06       1496.5      530.625   2.1277e+13   2.0465e+13     0.658608
   140918727      1.22367    0.0021777     0.777532      1477.32      1223.76      111.617   1.2181e+13   1.2019e+13     0.552085
  1010677421      1.16814    -0.333495     0.894733      1486.89      1304.03      829.379   5.5002e+13   5.4411e+13     0.921843
   123378688     0.400203    -0.331379     0.355363      51.0576      888.768      409.292   1.3806e+13   1.2344e+13     0.526785
   104148958      5.18356    -0.430193     0.666483     -1526.02      119.132      729.878   2.5337e+13   2.3064e+13     0.678718
   105525039      5.61189    -0.076026     0.624897      -1363.4      824.559        211.8   1.2019e+13   1.1532e+13     0.536223
   104813881      5.35966    -0.237703     0.684369     -1606.96      454.771       463.31   1.5592e+13   1.5267e+13     0.592631
   106203415      5.74859    0.0224142     0.824691     -1553.04      1277.78      90.1067   1.3318e+13   1.2994e+13     0.568876
