    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
     3484532      214.494      13.8335      0.19971     -457.865      314.612      136.797    2.813e+12      320.071
     8105286      285.402      18.7358     0.294757      207.529      753.317      265.027   3.1144e+12      342.312
    18217242      280.787      52.8694     0.219378      70.6656      370.911      498.699   3.6837e+12      345.571
     4996239      260.472      50.0085     0.232777     -70.3794      419.311      506.858   3.2818e+12      352.729
    14798991      183.964      20.6475     0.225192     -598.573      41.4762      226.096   2.4748e+13      690.651
   123342526      284.987      16.0839     0.308035      213.554      797.702      238.102    3.086e+12       345.14
    18295092      275.744      52.9952     0.273887      46.4213      461.505       615.42   2.7795e+12      327.206
     5697460      322.911      65.0154     0.145628      142.374      107.633      383.023   5.8269e+12      410.961
   117106029      243.096      28.9039     0.320488     -353.113      695.908      430.856   3.7356e+12      351.212
     5928325      319.404      76.4723     0.335721      165.224      141.594      904.426   3.6502e+12       356.93
   122579109      307.266      42.0217     0.311857      391.029      513.927      581.902   4.0605e+12      369.824
   128741698      329.419       27.782     0.332227       701.77      414.717      429.453   2.8423e+13      719.104
     8561522      336.908     0.580989      0.16052      426.943       182.04      4.70654   5.2576e+12      409.395
   116307274      241.931      64.1335     0.317084     -181.203      339.802      794.258   8.4458e+12      466.462
    18833177      337.375      7.70654     0.197414        517.6      215.723      75.8822   3.4828e+12      339.504
     2492690      216.848      30.7928     0.320889     -613.478      459.739       456.87   2.9804e+12      338.673
     9244071      297.661      44.7698     0.316217       290.19       553.64       620.08   3.8176e+12      366.403
     3373972       212.96      31.4692     0.150671     -312.511      202.634      227.966   8.2046e+12      522.354
   109204285      192.094      3.20218     0.319403     -867.557      185.889      49.6387   3.4108e+12      345.968
   121655700      331.742      41.9669     0.295494      541.627      291.127      553.025   9.9076e+12      513.396
    10575685      333.342      11.0735     0.220802      551.984      277.118       120.88   2.6188e+13      698.152
   123309017      297.314      16.4264     0.313125      384.034      743.605      246.738    1.949e+13      670.809
    18085141      323.596      17.7351    0.0941578      211.948      156.282      84.2192   3.2483e+12       331.94
     8110810       288.59       20.715     0.281031      235.377      699.797       279.21   3.0809e+12      345.548
     8884616      317.833      8.30231     0.240024      499.444      452.339      98.3298   3.6837e+12      371.997
     6583211       353.18      24.3261     0.193342      501.904      60.0234      228.511   2.8967e+13      717.327
     5000556       254.19      49.4935     0.244915     -122.814       433.74      527.688   5.8269e+12      418.061
     6053722      271.023      71.1741     0.339935      5.42334      303.579       890.58   9.3767e+12      501.011
     3998943      233.856      7.07762     0.301643     -493.388      675.519      103.862   1.1721e+13      535.868
    16249841      226.133      5.86221     0.245712     -479.898      499.261      71.1019   3.0474e+12      343.742
     7637360      258.328      5.25145     0.241218     -137.829      667.201       62.619   7.5013e+12      453.243
   128649758      336.067      7.77185     0.316798      798.722      354.501      119.266   3.5732e+12      379.133
   127834841      343.594      11.7342     0.330286      860.734      253.428      186.374   6.8216e+12      470.604
     7773191      283.183       75.002     0.290633      48.0643      205.198      786.645   3.8511e+12      361.497
     7298773      201.458      30.4389     0.249845     -567.419      223.033      358.252   2.7125e+12       340.93
     3374030      203.405      31.0687     0.151087     -344.181      148.973      225.958   1.8418e+13      596.583
   122618564      272.406      51.8203      0.33698      24.2231       576.47      733.745   7.7961e+12      490.441
     8465254      356.356      59.5318      0.21928      316.399      20.1522      538.911   6.5168e+13      968.407
    17266195      235.454      60.9681     0.299236     -230.257      334.456      731.577    8.717e+13      1052.03
    10726574      334.784      41.8411     0.327191      612.358      288.359      606.052   8.8744e+12      517.799
    18270912      294.816      39.7668     0.197565      182.687      395.079      362.228   1.2391e+13      543.807
